"categoria";"clasificacion";"tema";"subtema";"tipo_norma";"id_norma_legal";"anio";"fecha_expedicion";"descripcion_norma";"autoridad_emisora";"estado"
"Medicina Laboral";"COMUNICACIÓN EN EL TRABAJO";"SG-SST";"Capacitación";"Código";"Sustantivo del Trabajo";"1951";"1951-06-07";"Adoptado por el Decreto Ley 2663 del 5 de agosto de 1950 ""Sobre Código Sustantivo del Trabajo"", en virtud del Estado de Sitio promulgado por el Decreto Extraordinario No 3518 de 1949. Compilando los Decretos 2663 y 3743 de 1950 y 905 de 1951 Obligaciones del patrono en medicina, higiene y seguridad industrial";"Ministerio de Trabajo";"activa"
"Medicina Laboral";"EVALUACIONES MEDICAS OCUPACIONALES";"Medicina del trabajo";"Exámenes médicos";"Código";"Sustantivo del Trabajo";"1951";"1951-06-07";"Adoptado por el Decreto Ley 2663 del 5 de agosto de 1950 ""Sobre Código Sustantivo del Trabajo"", publicado en el Diario Oficial No 27.407 del 9 de septiembre de 1950, en virtud del Estado de Sitio promulgado por el Decreto Extraordinario No 3518 de 1949.";"Ministerio de Trabajo";"activa"
"Medicina Laboral";"REINTEGRO Y REHABILITACIÓN";"Medicina del trabajo";"Reintegro y Rehabilitación";"Código";"Sustantivo del Trabajo";"1951";"1951-06-07";"Adoptado por el Decreto Ley 2663 del 5 de agosto de 1950 ""Sobre Código Sustantivo del Trabajo"", publicado en el Diario Oficial No 27.407 del 9 de septiembre de 1950, en virtud del Estado de Sitio promulgado por el Decreto Extraordinario No 3518 de 1949. Compilando los Decretos 2663 y 3743 de 1950 y 905 de 1951 Obligaciones del patrono en medicina, higiene y seguridad industrial";"Ministerio de Trabajo";"activa"
"Medicina Laboral";"EMBARAZO Y TRABAJO";"Medicina preventiva";"Embarazo y Trabajo";"Resolución";"2400";"1979";"1979-05-22";"Por la cual se establecen algunas disposiciones sobre vivienda, higiene y seguridad en los establecimientos de trabajo";"Ministerio de trabajo y seguridad social";"activa"
"Medicina Laboral";"TRABAJO NOCTURNO";"SG-SST";"Trabajo Nocturno";"Resolución";"2400";"1979";"1979-05-22";"Por la cual se establecen algunas disposiciones sobre vivienda, higiene y seguridad en los establecimientos de trabajo";"Ministerio de trabajo y seguridad social";"activa"
"Medicina Laboral";"COMUNICACIÓN EN EL TRABAJO";"SG-SST";"Competencias";"Ley";"23";"1981";"1981-02-18";"Por la cual se dictan normas en materia de ética médica CAPITULO III. DE LA PRESCRIPCIÓN MEDICA, LA HISTORIA CLÍNICA, EL SECRETO PROFESIONAL Y ALGUNAS CONDUCTAS .";"Congreso de la República";"activa"
"Medicina Laboral";"SISTEMAS DE VIGILANCIA EPIDEMIOLÓGICA";"Medicina del trabajo";"Sistemas de Vigilancia Epidemiológica";"Resolución";"8321";"1983";"1983-08-04";"Por la cual se dictan normas sobre protección y conservación de la audición, de la salud y el bienestar de las personas";"Ministerio de Salud";"activa"
"Medicina Laboral";"RIESGO PSICOSOCIAL";"Medicina del trabajo";"Riesgo Psicosocial";"Decreto";"614";"1984";"1984-03-14";"Artículo 2º.- Objeto de la Salud Ocupacional. c) Proteger a la persona contra los riesgos relacionados con agentes físicos, químicos, biológicos, psicosociales, mecánicos, eléctricos y otros derivados de la organización laboral que puedan afectar la salud individual o colectiva en los lugares de trabajo; Ver la Resolución del Min. Protección 2646 de 2008";"Ministerio de trabajo y seguridad social";"activa"
"Medicina Laboral";"COPASST";"SG-SST";"COPASST";"Resolución";"2013";"1986";"1986-06-06";"Por la cual se reglamenta la organización y funcionamiento de los Comités de Medicina, Higiene y Seguridad Industrial en los lugares de Trabajo.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"CALIFICACIÓN DE ORIGEN Y/O PERDIDA DE LA CAPACIDAD LABORAL";"Medicina del trabajo";"Calificación de Origen y/o PCL";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"DIAGNOSTICO DE SALUD";"Medicina preventiva";"Diagnostico de salud";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"DIAGNOSTICO DE SALUD";"Medicina preventiva";"Estadísticas y morbilidad";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"ENFERMEDAD LABORAL";"Medicina del trabajo";"Enfermedad Laboral";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"EVALUACIONES MEDICAS OCUPACIONALES";"Medicina del trabajo";"Exámenes médicos";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"HISTORIA CLÍNICA";"Medicina del trabajo";"Historia Clínica";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"INCAPACIDAD TEMPORAL";"Medicina del trabajo";"Incapacidad Temporal";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"REINTEGRO Y REHABILITACIÓN";"Medicina del trabajo";"Reintegro y Rehabilitación";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"RIESGO PSICOSOCIAL";"Medicina del trabajo";"Riesgo Psicosocial";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"SISTEMAS DE VIGILANCIA EPIDEMIOLÓGICA";"Medicina del trabajo";"Sistemas de Vigilancia Epidemiológica";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"TRABAJO NOCTURNO";"SG-SST";"Trabajo Nocturno";"Resolución";"1016";"1989";"1989-03-31";"Por la cual se reglamenta la organización, funcionamiento y forma de los Programas de Salud Ocupacional que deben desarrollar los patronos o empleadores en el país.";"Ministerios de Trabajo y Seguridad Social y Salud";"activa"
"Medicina Laboral";"CALIFICACIÓN DE ORIGEN Y/O PERDIDA DE LA CAPACIDAD LABORAL";"Medicina del trabajo";"Calificación de Origen y/o PCL";"Decreto";"2177";"1989";"1989-09-21";"Por el cual se desarrolla la ley 82 de 1988, aprobatoria del convenio número 159, suscrito con la organización internacional del trabajo, sobre readaptación profesional y el empleo de personas invalidas. Cap V: Rehabilitación por reubicación profesional (Art 11 al 17)";"Ministerio de Trabajo y Seguridad Social";"activa"
"Medicina Laboral";"EVALUACIONES MEDICAS OCUPACIONALES";"Medicina del trabajo";"Exámenes médicos";"Resolución";"13824";"1989";"1989-10-02";"Por la cual se dicta una medida para la protección de la salud";"Ministerio de Salud";"activa"
